CustomerID,Frequency,MonetaryValue,UnitPrice,Quantity,Recency,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,Value Segment,RFM Customer Segments
12346,1,77183.6,1.04,74215.0,325,1,1,2,4,Low-Value,At Risk
12347,182,4310.0,2.644010989010989,13.505494505494505,366,1,1,1,3,Low-Value,Gone
12348,27,1437.24,0.692962962962963,86.37037037037037,357,1,1,1,3,Low-Value,Gone
12349,72,1457.55,4.237500000000001,8.75,18,5,1,1,7,High-Value,Loyal Customers
12350,16,294.4,1.58125,12.25,309,1,1,1,3,Low-Value,Gone
12352,80,2226.04,14.426374999999998,6.6125,296,2,1,1,4,Low-Value,At Risk
12353,4,89.0,6.074999999999999,5.0,203,3,1,1,5,Mid-Value,Average
12354,58,1079.4,4.5037931034482765,9.137931034482758,231,2,1,1,4,Low-Value,At Risk
12355,13,459.4,4.203846153846154,18.46153846153846,213,3,1,1,5,Mid-Value,Average
12356,58,2487.43,2.9460344827586207,27.120689655172413,325,1,1,1,3,Low-Value,Gone
12357,131,6207.67,3.3486259541984733,20.671755725190838,32,5,1,1,7,High-Value,Loyal Customers
12358,17,928.0600000000001,4.541764705882353,14.235294117647058,150,3,1,1,5,Mid-Value,Average
12359,248,6372.58,8.620403225806452,6.540322580645161,331,1,1,1,3,Low-Value,Gone
12360,126,2302.06,2.681825396825397,9.174603174603174,200,3,1,1,5,Mid-Value,Average
12361,9,174.9,2.038888888888889,10.0,286,2,1,1,4,Low-Value,At Risk
12362,256,4737.23,3.4972265625,8.58203125,295,2,1,1,4,Low-Value,At Risk
12363,23,552.0,2.3117391304347827,17.73913043478261,241,2,1,1,4,Low-Value,At Risk
12364,81,1208.1,1.2638271604938272,18.506172839506174,111,4,1,1,6,High-Value,Loyal Customers
12365,22,641.38,17.150454545454547,7.909090909090909,290,2,1,1,4,Low-Value,At Risk
12367,10,150.9,1.72,17.2,3,5,1,1,7,High-Value,Loyal Customers
12370,166,3425.69,2.576204819277108,14.156626506024097,359,1,1,1,3,Low-Value,Gone
12371,62,1527.96,3.291612903225807,9.387096774193548,59,5,1,1,7,High-Value,Loyal Customers
12372,49,1196.04,2.1442857142857146,16.081632653061224,296,2,1,1,4,Low-Value,At Risk
12373,13,324.6,1.8576923076923075,15.076923076923077,310,1,1,1,3,Low-Value,Gone
12374,32,622.9300000000001,3.1015625,10.59375,24,5,1,1,7,High-Value,Loyal Customers
12375,15,377.5,2.5013333333333336,11.733333333333333,97,4,1,1,6,High-Value,Loyal Customers
12377,76,1548.12,2.2282894736842103,12.394736842105264,354,1,1,1,3,Low-Value,Gone
12378,219,4008.62,2.9974429223744297,11.547945205479452,129,4,1,1,6,High-Value,Loyal Customers
12379,38,777.24,2.2276315789473684,10.578947368421053,169,3,1,1,5,Mid-Value,Average
12380,100,2427.81,2.8238,11.1,185,3,1,1,5,Mid-Value,Average
12381,82,1474.81,3.377317073170732,9.71951219512195,119,4,1,1,6,High-Value,Loyal Customers
12383,94,1628.56,2.421382978723404,16.148936170212767,351,1,1,1,3,Low-Value,Gone
12384,25,425.27,5.3096000000000005,4.88,121,4,1,1,6,High-Value,Loyal Customers
12386,10,401.9,2.391,35.4,366,1,1,1,3,Low-Value,Gone
12388,100,2780.66,2.7777,14.62,326,1,1,1,3,Low-Value,Gone
12390,31,504.84000000000003,3.641935483870968,11.290322580645162,79,4,1,1,6,High-Value,Loyal Customers
12391,100,460.89,2.4599,3.0,21,5,1,1,7,High-Value,Loyal Customers
12393,64,1582.6000000000001,2.2796875,12.75,332,1,1,1,3,Low-Value,Gone
12394,25,1080.48,2.3204,32.32,216,3,1,1,5,Mid-Value,Average
12395,144,2682.63,2.987083333333333,14.5625,370,1,1,1,3,Low-Value,Gone
12397,124,2214.9,3.282258064516129,10.080645161290322,134,4,1,1,6,High-Value,Loyal Customers
12398,84,1435.66,1.5402380952380952,16.535714285714285,45,5,1,1,7,High-Value,Loyal Customers
12399,55,1033.65,1.1774545454545455,21.327272727272728,261,2,1,1,4,Low-Value,At Risk
12401,4,69.3,8.35,2.5,302,1,1,1,3,Low-Value,Gone
12402,10,195.6,2.12,9.2,322,1,1,1,3,Low-Value,Gone
12403,4,391.70000000000005,4.3500000000000005,23.5,49,5,1,1,7,High-Value,Loyal Customers
12405,53,1390.39,2.856415094339623,16.0188679245283,148,4,1,1,6,High-Value,Loyal Customers
12406,105,3415.3,2.487047619047619,17.314285714285713,183,3,1,1,5,Mid-Value,Average
12407,72,1507.12,2.410972222222222,19.48611111111111,263,2,1,1,4,Low-Value,At Risk
12408,101,2618.5499999999997,2.548514851485148,13.772277227722773,259,2,1,1,4,Low-Value,At Risk
